tconst,originalTitle,weightedAverage,soup
tt0029192,Make Way for Tomorrow,7.503550475885204,drama romance nm0564970 nm0602005 nm0094135 nm0047810 nm0593775 nm0356004
tt0029284,My Favorite Wife,6.9600311247932005,comedy romance nm0437717 nm0002050 nm0000026 nm0000068 nm0665850 nm0794700
tt0029322,Nothing Sacred,6.545996268354399,comedy drama fantasy nm0920074 nm0001479 nm0545298 nm0935415 nm0175369 nm0750079
tt0029442,The Prisoner of Zenda,6.893214242994188,adventure drama romance nm0188669 nm0886754 nm0172903 nm0140914 nm0807580 nm0557339
tt0029453,Pépé le Moko,7.117511028809153,crime drama romance nm0245213 nm0300064 nm0300388 nm0264692 nm0153457 nm0340854
tt0029546,Shall We Dance,6.924368134736273,comedy musical romance nm0762263 nm0000001 nm0001677 nm0002143 nm0089314 nm0184578
tt0029604,Stage Door,7.157041218470806,comedy drama romance nm0478441 nm0000031 nm0001677 nm0579663 nm0665850 nm0171887
tt0029606,A Star Is Born,6.9466864322015764,drama romance nm0920074 nm0176699 nm0281808 nm0310980 nm0545298 nm0579663 nm0733480 nm0222596
tt0029608,Stella Dallas,6.857794008749976,drama romance nm0896542 nm0001766 nm0092900 nm0794297 nm0641966 nm0002118
tt0029682,Topper,6.8161283076531225,comedy fantasy romance nm0572851 nm0000026 nm0000909 nm0950019 nm0000992 nm0610253
tt0029747,Way Out West,7.0915969576159785,comedy family western nm0395023 nm0491048 nm0001316 nm0528800 nm0278006 nm0493005
tt0029808,You Only Live Once,6.795715408715904,crime drama film-noir nm0000485 nm0796662 nm0000020 nm0533692 nm0228863 nm0307326
tt0029811,Young and Innocent,6.603565751462781,crime mystery romance nm0000033 nm0683345 nm0210116 nm0549385 nm0726585 nm0163515
tt0029843,The Adventures of Robin Hood,7.755260602914542,action adventure romance nm0002031 nm0445033 nm0001224 nm0000014 nm0001651 nm0001647 nm0461549
tt0029850,Aleksandr Nevskiy,7.116782938301197,action biography drama nm0001178 nm0890565 nm0003540 nm0645613 nm0009372 nm0650115 nm0637133
tt0029870,Angels with Dirty Faces,7.594608336441909,crime drama film-noir nm0002031 nm0000010 nm0002285 nm0000007 nm0792130 nm0051628
tt0029942,Boys Town,6.749592800414478,biography drama family nm0851537 nm0000075 nm0001682 nm0401434 nm0272059 nm0721728
tt0029947,Bringing Up Baby,7.6858966768733445,comedy nm0001328 nm0000031 nm0000026 nm0749476 nm0146185 nm0280178
tt0029957,La bête humaine,7.007178177618686,crime drama nm0719756 nm0300064 nm0136853 nm0800386 nm0496614 nm0116558
tt0029992,A Christmas Carol,7.018860835711785,drama family fantasy nm0547446 nm0654239 nm0516876 nm0516883 nm0452953 nm0533131
tt0030241,Holiday,7.372501793554993,comedy romance nm0002030 nm0000031 nm0000026 nm0461615 nm0000817 nm0002143
tt0030287,Jezebel,7.0951442490385,drama romance nm0943758 nm0000012 nm0000020 nm0107575 nm0512267 nm0187981
tt0030341,The Lady Vanishes,7.577534395805198,mystery thriller nm0000033 nm0516994 nm0714878 nm0510134 nm0926599 nm0662116
tt0030522,Olympia 1. Teil - Fest der Völker,6.956406737548421,documentary sport nm0726166 nm0017049 nm3935741 nm0073596 nm3858448 nm3858968
tt0030637,Pygmalion,7.180802604819936,comedy drama romance nm0002190 nm0001366 nm0001366 nm0384908 nm0493347 nm0517919 nm0839152
tt0030643,Le quai des brumes,7.191139378187365,crime drama romance nm0138893 nm0300064 nm0800302 nm0006807 nm0105482 nm0217612
tt0030696,Room Service,6.399390978363044,comedy nm0782682 nm0000050 nm0555617 nm0555597 nm0000840 nm0587900
tt0030993,You Can't Take It with You,7.553458909322291,comedy drama romance nm0001008 nm0000795 nm0000071 nm0000859 nm0036427 nm0041681
tt0031022,The Adventures of Sherlock Holmes,6.849625067172518,crime mystery thriller nm0921288 nm0001651 nm0115558 nm0526946 nm0550701 nm0452953
tt0031047,Another Thin Man,6.873496409196481,comedy crime mystery nm0886754 nm0001635 nm0001485 nm0340706 nm0472603 nm0807580
tt0031060,At the Circus,6.528374953173127,comedy musical nm0125636 nm0000050 nm0555597 nm0555617 nm0048653 nm0723422
tt0031088,Beau Geste,6.925939112676424,action adventure drama nm0920074 nm0000011 nm0001537 nm0696481 nm0002046 nm0001333
tt0031210,Dark Victory,7.048631331152831,drama romance nm0332539 nm0000012 nm0107575 nm0000007 nm0280242 nm0001654
tt0031225,Destry Rides Again,7.194655932830693,comedy western nm0550892 nm0000017 nm0000071 nm0041681 nm0935415 nm0002046
tt0031235,Dodge City,6.671184675154048,western nm0002031 nm0001224 nm0000014 nm0792130 nm0127677 nm0570451
tt0031252,Drums Along the Mohawk,6.650955927819949,drama romance war nm0000406 nm0001055 nm0000020 nm0646829 nm0172287 nm0001017
tt0031322,The Flying Deuces,6.456479684756489,comedy family war nm0840042 nm0491048 nm0001316 nm0662335 nm0306786 nm0585481
